lawyer_name,url,text
Ronald Wayne Novotny,https://www.aalrr.com,"document.body.className += ' js';
			 
		


			 
			 
				 
					 
					 Cookie Settings 
					 
							 
								 
							 
						 
				 
				 
					
					 
					 Menu 
				 
			 
			
			 
		 
			 
 
 California roots.  Global  reach. Atkinson, Andelson, Loya, Ruud & Romo has been committed to serving our public- and private-sector clients since 1979.  With over 200 attorneys across nine offices throughout the state, we'll meet you wherever you are, for whatever needs that arise. 
 Legal experts.  Trusted  advisors. We've cultivated a deep bench of talented attorneys who have been continuously recognized as leaders in their fields. Many have served as teachers, HR professionals, architects, and more. Their expertise is not just legal but experiential. 
 Your challenges are unique.  Our  solutions  are too. At AALRR, our clients are unique... and their cases are, too. We believe in tailor-made solutions, not a cookie-cutter approach.  When it comes to your case, we leave no stone unturned. And we are always available to answer your questions or concerns. 
 Strength through  Diversity . Law360  named AALRR the top law firm in the country for minority equity partners and minority attorneys in general.  At AALRR, diversity isn't just something we say, it's something we do—both within our office walls and in our wider communities. 
 
 

			 
			 
			 
			 
		 
			 
			 
				 
					
					 
 
 event 11.08.2024 2024 Construction Legal Forum 
 event 11.12.2024 2024 Education Law Conference | The Power of Bold Leadership 
 alert 10.17.2024 Governor Approves AB 438 Establishing New Postsecondary Goals and Services Requirements for High School Students 
 alert 10.17.2024 AB 2192 Approved: Bidding Thresholds Under CUPCCAA Set To Increase 
 alert 10.17.2024 Legal Alert - AB 1938 

 Business Law Journal 08.12.2024 Court of Appeal Sheds Light On The Rights Of Limited Liability Companies And Its Members 
 EdLawConnect Blog 09.12.2024 AALRR’s 2024 Title IX Virtual Academy 
 Labor & Employment Law Blog 09.13.2024 Resources for California Employers to Track and Confirm Their State and Local Minimum Wage Requirements 
 Labor & Employment Law Blog 10.10.2024  Legislation Impacting California Employee Handbook Policies for 2025 
 Public Safety Law Blog 10.10.2024 AALRR Attorney Presenting 2-day POST-Certified OIS Investigations Course at La Mesa PD 
 
 


				 
				
				
				
			 
			 
			
			 
				 Our Firm Our Story The AALRR Difference Awards & Recognition Our Culture Community Involvement Attorneys A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z   
			 
			 
				 
					 

			 

			 
				 Name 
				 
				
			 
		

			 
				 Keyword 
				 
				
			 
		
				 
					 
					 View All 
				 			
			 
				 
			 
			 

			 Practice Areas & Industries 
								 
									 
										 Practice Areas 
										 
 
 Asia Practice Board Governance Corporate, Finance & Transactions Business Formation, Liquidation & Redemption Buy-Sell & Shareholder Agreements Commercial Agreements & Secured Transactions Corporate Governance Executive Compensation & Employee Benefit Plans Financing & Venture Capital Franchise, Distribution & Supply Agreements Mergers & Acquisitions Minority/Woman/Veteran/Disadvantaged/Small Business Certification Mitigation Agreements Nondisclosure, Trade Secret & Non-competition Agreements Nonprofit Organizations Real Property Succession Planning COVID-19 Data Privacy & Security Education Business Services Charter Schools Clery Act Construction—School Facilities Contract Enforcement & Collective Bargaining Discrimination & Harassment Education Litigation Employee Performance & Evaluation Equity in Education/Office for Civil Rights IDEA/Education Code, Section 504 and ADA Investigations Public Finance Student Discipline Student Services and Disabilities Technology Title IX Facilities, Construction, Real Estate & Business Agreements & Front End Documents Bidding & Bid Protests Bond Counsel CEQA Collective Bargaining & Labor Relations Construction Claims & Litigation Construction—School Facilities Election & Reorganization Eminent Domain Environmental, Land Use & Zoning False Claims Act Federal Contracting OSHA/Safety Public Finance Public Works & Prevailing Wage Purchasing & Procurement Real Estate Real Property Intellectual Property Investigations, Regulatory Enforcement and White Collar Defense Labor & Employment Law California, Federal & Local Agency Claims Collective Bargaining & Labor Relations Employment Policies, Procedures & Training Investigations Labor & Employment Litigation Leaves of Absence OSHA/Safety Litigation Administrative Hearings & Arbitrations Alternative Dispute Resolution Bidding Disputes & Contract Litigation Business & Commercial Litigation CEQA Class Action Defense Construction Claims & Litigation Education Litigation Labor & Employment Litigation Real Estate Litigation Tax Controversy & Litigation Trials Trust & Estate Litigation Wage & Hour Public Safety Advice & Counsel Collective Bargaining Disciplinary Matters  Public Safety Officers Procedural Bill of Rights Act Tax Law ERISA & Qualified Plans Nonprofit Organizations Tax Controversy & Litigation Tax Planning for Companies Tax-Deferred Transactions & Corporate Reorganizations Water Law CEQA Environmental Propositions 218 & 26 Sustainable Groundwater Management Act Water Rights Workplace Training 
 

									 
									 
										 Industries 
										 
 
 Construction Entertainment & Media Environmental Financial Services Hospitality International Shipping, Logistics & Distribution Life Sciences & Health Care Manufacturing Nonprofits Printing, Packaging, Mailing, Fulfillment and Graphic Arts Private Colleges and Universities Private Schools Public Educational Agencies & Institutions Public Entities Real Estate Retail Services Technology Temporary Staffing Services 
 

									 
								 Clients & Successes Our Successes Representative Clients Client Testimonials 
				 News, Events & Publications Firm News Events & Speaking Engagements Blogs Alerts & Articles FRISK ® Public Contracts Sign Up Media Contact Diversity & Inclusion Our Promise Profiles in Diversity Diversity Committees In Our Firm In Our Community Diversity in the News Careers Our Culture Attorneys Professional Staff Employment Opportunities Summer Law Clerk Program Equal Opportunity Policy CCPA Notice to Applicants Offices Cerritos Fresno Irvine Marin Pasadena Pleasanton Riverside Sacramento San Diego Contact Inquiry 
								 
									 
 
 Cerritos 12800 Center Court Drive 
 Suite 300 
 Cerritos, CA 90703 
 T: 562-653-3200 F: 562-653-3333 
 Fresno 10 River Park Place East 
 Suite 240 
 Fresno, CA 93720 
 T: 559-225-6700 F: 559-468-0019 
 Irvine 20 Pacifica 
 Suite 1100 
 Irvine, CA 92618 
 T: 949-453-4260 F: 949-453-4262 
 Marin 3 Harbor Drive 
 Suite 200 
 Sausalito, CA 94965 
 T: 628-234-6200 F: 628-234-6899 
 Pasadena 251 S. Lake Ave 
 Suite 360 
 Pasadena, CA 91101 
 T: 626-583-8600 F: 626-583-8610 
 Pleasanton 5075 Hopyard Road 
 Suite 210 
 Pleasanton, CA 94588 
 T: 925-227-9200 F: 925-227-9202 
 Riverside 3880 Lemon Street 
 Suite 350 
 Riverside, CA 92501 
 T: 951-683-1122 F: 951-683-1144 
 Sacramento 2151 River Plaza Drive 
 Suite 300 
 Sacramento, CA 95833 
 T: 916-923-1200 F: 916-923-1222 
 San Diego 4225 Executive Square 
 7th Floor 
 La Jolla, CA 92037 
 T: 858-485-9526 F: 858-485-9412 
 
 

								 
			 
			 Back to Page 
			 Our Firm Our Story The AALRR Difference Awards & Recognition Our Culture Community Involvement Attorneys Practice Areas Industries Clients & Successes Our Successes Representative Clients Client Testimonials News, Events & Publications Firm News Events & Speaking Engagements Blogs Alerts & Articles FRISK ® Public Contracts Sign Up Media Contact Diversity & Inclusion Our Promise Profiles in Diversity Diversity Committees In Our Firm In Our Community Diversity in the News Careers Our Culture Attorneys Professional Staff Employment Opportunities Summer Law Clerk Program Equal Opportunity Policy CCPA Notice to Applicants Offices Cerritos Fresno Irvine Marin Pasadena Pleasanton Riverside Sacramento San Diego Contact Inquiry 
			 
				 
					 Privacy Policy 
					 Attorney Advertising 
					 Disclaimer 
					 Site Map 
					 Manage Cookies 
					 © 2024 Atkinson, Andelson, Loya, Ruud & Romo 
					 Site by Firmseek 
				 
			 
			
			 
				 
					 
						 By using this site, you agree to our  Privacy Policy . Please select one of the three Cookie options. 
						
					 
					 Manage Cookies 
					 Reject Cookies 
					 Accept and Close 
				 
			 
			
				 
					 
						 
							 Necessary Cookies 
 Necessary cookies enable core functionality such as security, network management, and accessibility. You may disable these by changing your browser settings, but this may affect how the website functions. 
							
						 
						
					 
						 Analytical Cookies 
						 
							 
							 On 

							 
							 Off 
						 

						 Analytical cookies help us improve our website by collecting and reporting information on its usage. We access and process information from these cookies at an aggregate level. 
						

					 
				
						 Close 
					 
				 
				
			
			 
			
 

 {""@context"":""http:\/\/schema.org"",""@type"":""Organization"",""name"":""Atkinson, Andelson, Loya, Ruud & Romo"",""url"":""https:\/\/www.aalrr.com\/"",""sameAs"":[""http:\/\/www.linkedin.com\/company\/54311?trk=tyah"",""http:\/\/www.twitter.com\/aalrr"",""https:\/\/www.facebook.com\/atkinsonandelson\/""]}"
Jan Nielsen Little,https://www.keker.com,"Javascript must be enabled for the correct page display 
     
     
 
 
 

        
        
         
            
    
     
    
     
     
        
 
 
     
         
         
             
                 
                     
             
             
                 
                 
                     
			 
                
                 Lawyers 
				
			 

			 
                
                 Services 
				
			 

			 
                
                 News & Events 
				
			 

			 
                
                 About Us 
				
			 

			 
                
                 Careers 
				
			 
 

                     
                         Click for Search 
                         
                         
                             
                                 
                                     Search 
                                     
                                     
                                     Search 
                                 
                             
                         
                     
                 
             
             
                 
                 
                 Open/Close 
             
         
     
 

         
            
    
     
         
             
         
         
             
         
        
         
             
                 We take the tough cases— 

 The make or break cases where companies, careers, and reputations are riding on the result. True to our roots as trial lawyers, we relish the courtroom battles. Still, whether we go to trial, settle, or just make the problem go away, what matters is obtaining the best result for our clients. 
 
             
         
        
     
     
        
        
         
             
                
                        
 
    
     
         News 
     
     Keker Files Amicus Brief Supporting Telehealth Abortion Access in North Carolina Case 
    
 

                    
                        
 
    
     
         News 
     
     Women in Tech Law Award Winner Michelle Ybarra on Going Deep With Clients 
    
 

                    
                        
 
    
     
         News 
     
     Rachael Meny Featured Among The Recorder’s 2024 Women Leaders in Tech Law 
    
 

                    
             
         
        
        
         
             See more 
         
        
     
     

         
        
 
     
         
             
                 
                    
                     
                         Site map 
                     
                    
                     
                         Legal Disclaimer 
                     
                    
                     
                         Privacy Policy 
                     
                    
                     
                         Cookie Notice 
                     
                    
                 
                 © 2024 Keker, Van Nest & Peters LLP. All Rights Reserved. 
             
             
                
                 Follow on Facebook 
                
                 Follow on LinkedIn 
                
             
         
     
 

     

         
        
         
    
 

	 
 

    
     Loading... 
    

     
     
     

    

    
     
            (function (i, s, o, g, r, a, m) {
                i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () {
                    (i[r].q = i[r].q || []).push(arguments);
                }, i[r].l = 1 * new Date(); a = s.createElement(o),
                m = s.getElementsByTagName(o)[0]; a.async = 1; a.src = g; m.parentNode.insertBefore(a, m);
            })(window, document, 'script', '//www.google-analytics.com/analytics.js', 'ga');

            ga('create', 'UA-20981584-1', 'auto');
            ga('send', 'pageview');
     
    
     
     
     
     
     
     
     
     
     
    
     
        $(document).ready(function () {
            var printLink = $('#ptPrint');
            var pdfLink = $('#ptPdf');
            // call function from darwin pagetools.js
            initPrintFunc(printLink);
            //intPdfFunc(pdfLink);
            pdfLink.attr('href','https://pdf-generator.tenrec.com/?pageUrl=https://www.keker.com/');
        });
     

    
     
        $(document).ready(function () {
            var imagesStr = $('#hdnImages').val();
            var images = imagesStr.split('|');
            if (images.length > 0) {
                var shuffleImages = shuffle(images);
                var imageUrl = shuffleImages[0];

                $('#heroImg').attr('data-src', imageUrl);
                $('#heroImgMobile').attr('src', imageUrl);
            }
        });"
Stephen G. Opperwall,https://www.opperwall.com,".skp-btn {
		position: fixed;
		top: 0;
		left: 0;
		z-index: 5;
		transition: transform var(--g-trn-sp) var(--g-trn-tf) 0s;
	}
	
	.skp-btn:not(:focus) {
		transform: translateY(-101%);
	}
 
 Skip to Content 
	 
	 
		 
			 
				 
					 
				 
				
				 
	 
	 
	
 
				
				 
					 
				 
			 
			 
				 
					 
						 	
	 
		 
			 Types of Procedures and Proceedings 
		 
	 
 
					 
					 
						 
	
		 Call Us Today! 
	
	 925-417-0300 
 
					 
				 
				 
					 
						 
	 
		 Home 
		
	 
		 Attorney Profile 
		
	 
		 Practice Areas 
		
			 
				 
					 
						 Creditors' Rights 
						
					 
						 Debt Collections 
						
					 
						 Commercial Litigation 
						
					 
						 Business Litigation 
						
					 
				 
			 
		
	 
		 Areas Served 
		
	 
 
						
						
 
	 
		 
			 Close 
			 
		 
	 
	 
		 
			 
				 Search 
				 
				 
					 
				 
			 
		 
	 
 
 
	 
		 
			 Home 
			
		 
			 Attorney Profile 
			
		 
			 Practice Areas 
			
				 
					 
				 
				 
					 
						 
							 
							 
								 Main Menu 
							 
						 
						 
							 Creditors' Rights 
							
						 
							 Debt Collections 
							
						 
							 Commercial Litigation 
							
						 
							 Business Litigation 
							
						 
					 
				 
			
		 
			 Types of Procedures and Proceedings 
			
		 
			 Areas Served 
			
		 
	 
 

 
	 
		 
	
		 
			 
				 
					Contact Us
				 
			 
			
				 
					 
						Call Us Today!
					 
				 
			
			
		 
	
 
	 
 


					 
					
					 
	
		 
			 
				 Contact Us 
				 
			 
		 
	
 
				 
			 
		 
	 
	 Top 
 
 
 window.Process&&Process.Page(['Process_HeaderV1','HeaderV1_1','HeaderV1_2','HeaderV1_3']); 
 
	 
	
	
	 
	
	
	 
	 
	 
	
 
	 
		 
			 
				 
	 
 
				 
	
		 Award-Winning Attorney in Creditors' Rights 
	
	
		 
			Northern California
Super Lawyer
		 
	
	
	
		 Creditors' Rights • Debt Collection • Commercial Litigation • Business Litigation 
	
	
	
 
				 
	
		 
			 
				 
					Practice Areas
				 
			 
			
				 
					 
						Attorney Profile
					 
				 
			
			
				 
					 
						Get Started
					 
				 
			
		 
	
 
			 
		 
		 
			 
	
	
	 
	 
	 
	
 
		 
	 
 
	
	 
		 
	
	
	 
	 
	 
	
 
	 
	 
		 
	
	
	 
	 
	 
	
 
	 
	 
		 
	
	
	 
	 
	 
	
 
	 
	 
	
	 
		 
			 
	 
 
 Alameda County, Santa Clara County & Contra Costa County Creditors' Rights Attorney Debt Collection and Creditors' Rights Lawyer in Alameda County, CA If you are facing a legal matter involving  creditors' rights ,  debt collection ,  commercial litigation  or  business litigation , you will need an attorney at your side experienced with civil cases who can zealously and effectively protect your rights and interests as a creditor. Stephen G. Opperwall is a highly experienced civil litigation lawyer who has approximately 40 years of legal experience in this field. Attorney Opperwall first received the designation of ""Board Certified Specialist in Creditors' Rights"" in 1997 from the Academy of Commercial and Bankruptcy Law Specialists and the Commercial Law League of America. By 2003, the certification functions of the Academy had been taken over by the American Board of Certification, and Mr. Opperwall was recertified at that time. Mr. Opperwall's certification continued into 2010, by which time he had been named to the list of Super Lawyers of Northern California in creditors rights, bankruptcy, and business/commercial litigation. The status of Certified Specialist in Creditors' Rights has been held by fewer than 10 attorneys in California. 

			
 
	 
	 
	 Mr. Opperwall has also been named to the highly exclusive and honored list of Super Lawyers of Northern California. This list is reserved for the top 5% of attorneys in the area. Mr. Opperwall was first named to the Super Lawyers of Northern California list starting in 2007, and virtually every year since that time. He has also been named to the Super Lawyers Corporate Counsel Edition. Mr. Opperwall's areas of designation on the Super Lawyers of Northern California list are creditors' rights, bankruptcy, and business litigation. There are only approximately 40 attorneys on the Super Lawyers of Northern California list in creditors' rights, out of nearly 300,000 attorneys in California. Mr. Opperwall has also been named to the Multi Million Dollar Advocates Forum, an exclusive group of attorneys who have recovered $2,000,000 or more for at least one client, something which Mr. Opperwall has done multiple times. The Multi Million Dollar Advocates Forum has only 4,000 members nationwide. Mr. Opperwall has been named to the exclusive list of the Top 100 Bet-The-Company Litigators in: Bet-The-Company Litigation, Commercial Litigation, General Civil litigation, and High Stakes Litigation. Mr. Opperwall has recovered many tens of millions of dollars for clients in the form of judgments, settlements, and recoveries, with multiple cases involving well in excess of $2,000,000. At the Law Offices of Stephen G. Opperwall, clients can expect to receive personal attention and service through every step of the legal process, as well as fiercely loyal and tireless representation both inside and outside of the courtroom. The firm represents clients in civil litigation focusing on  creditors' rights , as well as a range of other issues in business law, commercial law, and bankruptcy. Your initial consultation with Northern California creditors' rights lawyer Stephen Opperwall is free, and you can count on receiving honest, valuable advice so you can make the right decision about your case and legal counsel. 
	 
		 Continue Reading 
		 Read Less 
		 
		 
	 
 
		 
		 
	
	
	
		 
	
	
	 
	 
	 
	
 
	
	
	
 
	 
 
	
	 
		 
	
		 
	 
 
		 
			 
				Areas of Law
			 
			
				 
					How We Can Help
				 
			
			
		 
	
 
		 
			 
				 
					 
						
							 
								 
							 
						
						

	 Creditors' Rights 

					 
				 
					 
						
							 
								 
							 
						
						

	 Debt Collections 

					 
				 
					 
						
							 
								 
							 
						
						

	 Commercial Litigation 

					 
				 
					 
						
							 
								 
							 
						
						

	 Business Litigation 

					 
				 
			 
		 
		

 
	 
		 
	 
	
	
	 
		 
	 
 
		 
	
 
	 
 
	
	 
		 
	 
 
 Gaining Control Over Accounts Receivable With a Debt Collection Lawyer When you are dealing with an issue regarding debt collection, direct intervention by an experienced creditors' rights attorney can help ensure that you recover your money fast. Outstanding accounts receivable can create a number of problems for any company, large or small. Debtors may be less likely to ignore a letter or other communication from an attorney than they would the vendor themselves. With extensive experience in debt collection litigation and as a creditors' rights specialist, Stephen G. Opperwall understands how to deal with the many aspects of debt collection. For examples, refer to the links for  Areas of Law  and for  Types of Procedures & Proceedings . You have many avenues of legal recourse that can be explored to help you gain control over outstanding debt. 

		
 
	 
	 
	
	 
		 Continue Reading 
		 Read Less 
		 
		 
	 
 
	 
 
	
	 
		 
			 
	 
 
 Practice Areas - Creditors' Rights, Civil and Debt Collection The Law Offices of Stephen G. Opperwall can assist you with expert legal services and litigation in areas including, but not limited to, the following: Creditors' Rights Creditors' Remedies Debt Collection Breach of Contract Commercial Collections Business Litigation Commercial Litigation Promissory Notes Accounts Receivable Collection Secured Transactions Successor Liability Breach of Fiduciary Duty Implied Covenant of Good Faith & Fair Dealing Fraudulent Transfer Leases Real Property Disputes Broker Disputes Bankruptcy (Representing Creditors) Labor/Employment Disputes Construction Disputes Mechanics' Liens The Law Offices of Stephen G. Opperwall has a main office location in Pleasanton as well as one in Santa Clara, and takes on cases throughout all of Northern California. Whether you are seeking representation in Santa Clara County, Contra Costa County or Alameda County, the firm can assist you. 

			
 
	 
	 
	
	 
		 Continue Reading 
		 Read Less 
		 
		 
	 
 
		 
		 
	
	
	 
	 
	 
	
 
	 
 
	
	
	 
		 
	
	
	 
	 
	 
	
 
		 
			 
				 
					 
	 
 


	 Get Immediate Help 



	 
		Call now to speak with a legal professional and receive prompt support.
	 


	 
		 Contact Us 
		
	 

				 
			 
		 
	 
 
 
 
	
	 
		 
			 
				 
	
		 
	 
 
		 
			 
				Contact Law Offices of Stephen G. Opperwall Today!
			 
			
			
				 A member of our team will be in touch shortly to confirm your contact details or address questions you may have. 
			
		 
	
 
				 
	
	
	
	
	 
		 
			 
			     
			    	 First Name 
			         
			         
			            Please enter your first name.
			         
			     
			 
			 
			     
			    	 Last Name 
			         
			         
			            Please enter your last name.
			         
			     
			 
			 
				 
					 Phone 
					 
					 
			            Please enter your phone number.
			         
			         
			            This isn't a valid phone number.
			         
				 
			 
			 
				 
					 Email 
					 
					 
						Please enter your email address.
					 
					 
						This isn't a valid email address.
					 
				 
			 
			
			 
				 
					 Are you a new client? 
					 
						 
						 Yes, I am a potential new client 
						 No, I'm a current existing client 
						 I'm neither. 
					 
					 
					 
						Please make a selection.
					 
				 
			 	
			 
				 
					 How can we help you? 
					 
					 
						Please enter a message.
					 
				 
			 
			 
				 
					 
					 By submitting, you agree to be contacted about your request & other information using automated technology. Message frequency varies. Msg & data rates may apply. Text STOP to cancel.  Acceptable Use Policy 
				 
			 
		 
	 
	
	 
	 
	 Send Message 
	
 
 
			 
		 
		 
			 
	 
 
 Consult Attorney Stephen G. Opperwall Today In the face of a legal matter that has the potential to significantly impact you financially, personally and professionally, your choice of legal counsel is important. Your attorney may directly impact the outcome of your case, particularly if he or she is incompetent or inexperienced. At the Law Offices of Stephen G. Opperwall, you can feel confident that your case is in experienced hands. Board certified in creditors' rights and with almost four decades of civil litigation experience, Attorney Opperwall is a wise choice. Call our firm at (925) 417-0300 or  contact us   online for your case evaluation. 

					 
	
 
				
		 
	 
 
 
	
	 
		 
	
 
		
		 
	 
		 
			 
	
	
		 
	
 

		 
			 
	
		 
			 
		 
	
	
 

		 
	 
 
		
		

 
	 
		 
	 
	
	
	 
		 
	 
 
		
		 
	
 
	 
 
 
	 
	
	
	 
	
	
	 
	 
	 
	
 
	 
{
	""@context"": ""https://schema.org"",
	""@type"": ""LocalBusiness"",
	""name"": ""Law Offices of Stephen G. Opperwall"",
	""description"": """",
	""address"": {
		""@type"": ""PostalAddress"",
		""streetAddress"": ""4900 Hopyard Road, Suite 100"",
		""addressLocality"": ""Pleasanton"",
		""addressRegion"": ""CA"",
		""postalCode"": ""94588""
	},
	""image"": ""/images/logos/Dark-Logo-v1.2404080556145.png"",
	""telePhone"": ""(925) 417-0300"",
	""url"": ""https://www.opperwall.com"",
	""geo"": {
		""@type"": ""GeoCoordinates"",
		""latitude"": ""37.6936006"",
		""longitude"": ""-121.9047296""
	}
}
 
	 
		 
			 
	 
	 
	
 
			 
	
		 Contact Us 
	
	 925-417-0300 
	
		 Fax 
	
	 925-417-0301 
 
		 
		 
			 
	 
	
		 
			Address
		 
	
 
	
		 
			4900 Hopyard Road  Suite 100  Pleasanton, CA 94588
		 
		
		
			
				 Map & Directions 
			
		
	
 
			 
				 
	 
	
		 
			Links
		 
	
 
	 	
		 
			 
				 Home 
			 
				 Attorney Profile 
			 
				 Practice Areas 
			 
				 Types of Procedures and Proceedings 
			 
				 Areas Served 
			 
				 Contact Us 
			 
		 
	 
 
			 
			 
				
				
			 
		 
	 
 
 window.Process&&Process.Page(['Process_FooterS1','FooterS1_1','FooterS1_2','FooterS1_3','FooterS1_4']); 
 
	
	 
		 
			
				 
					The information on this website is for general information purposes only. Nothing on this site should be taken as legal advice for any individual case or situation.  This information is not intended to create, and receipt or viewing does not constitute, an attorney-client relationship.
				 
			
			  
			 © 2024 All Rights Reserved. 
			 
				 
					 
						 Site Map 
					 
					 
						 Privacy Policy 
					 
					 
						 Site Search 
					 
				 
			 
		
		 
			 
				 
			 
		 
	 
 

 
	 
 
 
var loadDeferredStyles = function() {
	var addStylesNode = document.getElementById('deferred-styles');
	var replacement = document.createElement('div');
	replacement.innerHTML = addStylesNode.textContent;
	document.body.appendChild(replacement)
	addStylesNode.parentElement.removeChild(addStylesNode);
};
var raf = requestAnimationFrame || mozRequestAnimationFrame ||
webkitRequestAnimationFrame || msRequestAnimationFrame;
if (raf) raf(function() { window.setTimeout(loadDeferredStyles, 0); });
else window.addEventListener('load', loadDeferredStyles);
 
 
 
 import {CommsApiForm} from '/common/usc/p/comms-api-form.js';CommsApiForm.create('ContactS4Form');"
Frank Mario Pitre,https://www.cpmlegal.com,"Main Content 
				 Main Menu 
				 
					 
						 
					 
					 Menu 
				 
				 
					 Our Firm Our Firm What Sets Us Apart Firm History: A Quest for Justice Community Commitment Experience Diversity, Equity & Inclusion FAQs Attorneys Attorneys A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z   All 
			 
			 
			 
				 
					 

			 

			 
				 Name 
				 
				
			 
		

			 
				 Keyword 
				 
				
			 
		
				 
					 
				 
			 
				 
			 
			 

			 Practice Areas Newsroom Newsroom In the News Video & Media Publications Newsletters Sign Up For Newsletters Investigations Careers Careers Working at CPM Current Opportunities Diversity & Inclusion Summer Law Clerk Program Offices Offices 
 
 San Francisco Airport Office Center 
 840 Malcolm Road 
 Suite 200 
 Burlingame, CA 94010 
 T: 650.697.6000 F: 650.697.0577 
 2716 Ocean Park Blvd. 
 Suite 3088 
 Santa Monica, CA 90405 
 T: 310.392.2008 F: 310.392.0111 
 40 Worth Street 
 Suite 602 
 New York, NY 10013 
 T: 212.381.6373 F: 917.398.7753 
 999 N. Northlake Way 
 Suite 215 
 Seattle, WA 98103 
 T: 206.802.1272 F: 650.697.0577 
 
 
 San Francisco Bay Area Los Angeles/Santa Monica New York Seattle Blog Contact Us 
				 
			 
			
			 
			
			
			 
				
				 
					
					 
 
 
						 
						 
					 Fighting for the underdog  for over 50 years. “ Nothing can stop the power of a committed and determined people to make a difference in our society. ” 
 - John Lewis 
 
						 
						 
					 California roots.  National reach. “California is a place of invention, a place of courage, a place of vision, a place of the future. People who made California what it is were willing to take risks, think outside convention, and build.” 
 - Nicolas Berggruen 
 
						 
						 
					 Principle. Commitment.  Hard Work. Justice. ""The most difficult thing is the decision to act, the rest is merely tenacity."" 
 - Amelia Earhart 
 
						 
						 
					 A Legacy of Results. CPM is a law firm built on a foundation of deeply held principles and commitment. CPM’s shared values are a commitment to justice, hard work, and a promise to deliver true rights to their clients and a just society. 
 
						 
						 
					 Built on relationships.  Fueled by justice. ""Whether it is a friendship or a relationship, all bonds are built on trust. Without it, you have nothing."" 
 - Unknown 
 
 

			 
			 
				 
					 

			 

			 
				 Search Attorneys 
				 
				
			 
		
				 
					 
				 
			 
				 
			 
			 

			 
		 
			 News 
			 
 
 Surfrider, the Sierra Club, Heal the Bay, and San Francisco Baykeeper Sue Exxon for Hiding the Truth About Plastic Harms Read More › 
 
 

		 
			 Investigations 
			 
 
 CPM Investigating Akeela Health Data Breach Read More › 
 
 

		 
			 Blog 
			 
 
 When Should You Hire an Elder Abuse Attorney? Read More › 
 
 

		 
				 
 
 
						 
						 
					 Attorney Spotlight Gary Praglin Read More 
 
 

			 
				 
 
 ""The Cotchett firm has few peers that equal their ability in litigation. Their  commitment  to the cause of justice and their ethical standards stand apart. They are people who give back to the community and give lawyers a good name."" – Judge of the Superior Court 
 
 

			 
 
 
						 
						 
					 
 
						 
						 
					 
 
						 
						 
					 
 
						 
						 
					 
 
						 
						 
					 
 
						 
						 
					 
 
 
 
				
				
			 
			 
			
			 Jump to Page 
			 
				 
					 
					 
					 
				 
			 
			 
 
 San Francisco Bay Area 650.697.6000 
 Los Angeles/Santa Monica 310.392.2008 
 New York 212.381.6373 
 Seattle 206.802.1272 
 
 

			 
				 
				 
					
					 Disclaimer 
					 Privacy Policy 
					 Site Map 
					 Contact 
					 © 2024 Cotchett, Pitre & McCarthy, LLP 
					 Site by Firmseek 
				 
			 
			 By using this site, you agree to our updated  Privacy Policy  and our  Terms of Use . 
			 
			
 


 {""@context"":""https:\/\/schema.org"",""@type"":""Organization"",""name"":""Cotchett, Pitre & McCarthy, LLP"",""url"":""https:\/\/www.cpmlegal.com\/"",""sameAs"":[""https:\/\/www.linkedin.com\/company\/cotchett-pitre-&amp;-mccarthy"",""https:\/\/twitter.com\/CPMLEGAL"",""https:\/\/www.facebook.com\/pages\/Cotchett-Pitre-McCarthy-LLP\/185193864836741?sk=timeline""]}"
